scenario,region,sector,subsector,year,value,reductions,type
net zero emissions by 2050 scenario,world,total,road heavy-duty trucks,2020,1688.1,0,weo
stated policies scenario,world,total,road heavy-duty trucks,2030,2069.79,-0.226106273,weo
announced pledges scenario,world,total,road heavy-duty trucks,2030,1909.47,-0.131135596,weo
net zero emissions by 2050 scenario,world,total,road heavy-duty trucks,2030,1574.26,0.067436763,weo
stated policies scenario,world,total,road heavy-duty trucks,2040,2274.16,-0.347171376,weo
announced pledges scenario,world,total,road heavy-duty trucks,2040,1548.75,0.082548427,weo
net zero emissions by 2050 scenario,world,total,road heavy-duty trucks,2040,745.58,0.558331852,weo
stated policies scenario,world,total,road heavy-duty trucks,2050,2435.04,-0.442473787,weo
announced pledges scenario,world,total,road heavy-duty trucks,2050,1137.45,0.326195131,weo
net zero emissions by 2050 scenario,world,total,road heavy-duty trucks,2050,136.12,0.919364967,weo
stated policies scenario,world,total,road passenger light duty vehicle,2020,2803.05,0,weo
announced pledges scenario,world,total,road passenger light duty vehicle,2020,2803.05,0,weo
net zero emissions by 2050 scenario,world,total,road passenger light duty vehicle,2020,2803.05,0,weo
stated policies scenario,world,total,road passenger light duty vehicle,2030,2961.6,-0.056563386,weo
announced pledges scenario,world,total,road passenger light duty vehicle,2030,2588.6,0.076505949,weo
net zero emissions by 2050 scenario,world,total,road passenger light duty vehicle,2030,1690.99,0.396732131,weo
stated policies scenario,world,total,road passenger light duty vehicle,2040,2760.55,0.015162056,weo
announced pledges scenario,world,total,road passenger light duty vehicle,2040,1597.82,0.429970925,weo
net zero emissions by 2050 scenario,world,total,road passenger light duty vehicle,2040,421.66,0.849571003,weo
stated policies scenario,world,total,road passenger light duty vehicle,2050,2470.34,0.118695706,weo
announced pledges scenario,world,total,road passenger light duty vehicle,2050,996.87,0.644362391,weo
net zero emissions by 2050 scenario,world,total,road passenger light duty vehicle,2050,45.34,0.983824762,weo
stated policies scenario,world,total,services,2020,867.71,0,weo
announced pledges scenario,world,total,services,2020,867.71,0,weo
net zero emissions by 2050 scenario,world,total,services,2020,867.71,0,weo
stated policies scenario,world,total,services,2030,933.73,-0.076085328,weo
announced pledges scenario,world,total,services,2030,708.25,0.183771076,weo
net zero emissions by 2050 scenario,world,total,services,2030,434.51,0.49924514,weo
stated policies scenario,world,total,services,2040,918.54,-0.058579479,weo
announced pledges scenario,world,total,services,2040,432.15,0.501964942,weo
net zero emissions by 2050 scenario,world,total,services,2040,105.7,0.878185108,weo
stated policies scenario,world,total,services,2050,878.33,-0.012239112,weo
announced pledges scenario,world,total,services,2050,281.77,0.675271692,weo
net zero emissions by 2050 scenario,world,total,services,2050,0.75,0.999135656,weo
net zero emissions by 2050 scenario,world,coal,total energy supply,2020,14335.2,0,weo
net zero emissions by 2050 scenario,world,coal,total energy supply,2030,7578.32,0.471348848,weo
net zero emissions by 2050 scenario,world,coal,total energy supply,2040,1140.44,0.920444779,weo
net zero emissions by 2050 scenario,world,coal,total energy supply,2050,114.27,0.992028713,weo
net zero emissions by 2050 scenario,world,oil,total energy supply,2020,10193.7,0,weo
net zero emissions by 2050 scenario,world,oil,total energy supply,2030,7710.44,0.243607326,weo
net zero emissions by 2050 scenario,world,oil,total energy supply,2040,3029.61,0.702795844,weo
net zero emissions by 2050 scenario,world,oil,total energy supply,2050,722.15,0.929157225,weo
net zero emissions by 2050 scenario,world,natural gas,total energy supply,2020,7161.51,0,weo
net zero emissions by 2050 scenario,world,natural gas,total energy supply,2030,5282.33,0.262399969,weo
net zero emissions by 2050 scenario,world,natural gas,total energy supply,2040,1390.91,0.805779787,weo
net zero emissions by 2050 scenario,world,natural gas,total energy supply,2050,404.67,0.94349376,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,total energy supply,2020,213.41,0,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,total energy supply,2030,19.34,0.909376318,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,total energy supply,2040,-457.68,3.144604283,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,total energy supply,2050,-731.46,4.427486997,weo
